p1_won,surface,rank_p,form_old_p,form_new_p,career_p,career_conf,surface_p,surface_conf,h2h_p,h2h_w,fatigue_pp,model_old,model_new,p1_name,p2_name,date,tour_type,tournament,match_id,market_p
0,,0.2786466376126038,0.4155844155844156,0.41161017176462544,0.4461054287962235,1.0,0.4461054287962235,1.0,,0.0,-0.0,0.38011216066441433,0.37878741272448424,Knaff Alex,Piros Zsombor,2026-09-18,atp-single,Davis Cup,3326123,0.12456747404844293
0,Clay,0.365551379382136,0.564516129032258,0.5794117689886522,0.45581395348837206,1.0,0.33711048158640233,1.0,,0.0,-3.0,0.43196048730092207,0.39735787665239686,Bieldiugin Tymur,Vanshelboim Eric,2026-09-16,atp-single,Futures 2026,3325153,0.18905472636815923
0,Hard,0.46238676891416053,0.5714285714285714,0.5867331966982017,0.505720823798627,1.0,0.6079988518394489,1.0,,0.0,-0.0,0.5131787213804531,0.5523729391506038,Naito Yuki,Aksu Ayla,2026-09-21,wta-single,Ankara,3329405,0.4
0,Hard,0.4831441306715981,0.34782608695652173,0.38767107827520786,0.42932628797886396,1.0,0.476123033116315,1.0,,0.0,-0.0,0.42009883520232794,0.44897941402104025,Yashina Ekaterina,Vogt Marie,2026-09-21,wta-single,Ankara,3328480,0.25050100200400793
1,Hard,0.5654750926563433,0.47368421052631576,0.47575923001288795,0.5575364667747164,1.0,0.6880350760346732,1.0,,0.0,0.0,0.5322319233191252,0.5764231329013015,Tararudee Lanlana,Uchijima Moyuka,2026-09-21,wta-single,Seoul WTA,3326987,0.6563245823389022
0,Clay,0.5306526877234017,0.4666666666666667,0.4829108478497428,0.4495412844036697,1.0,0.4188572731938188,0.75,,0.0,-0.0,0.4822868795979127,0.4828023601703667,Vidal Leticia Garcia,Catanzarite Ava,2026-09-18,wta-single,Sao Luis do Maranhao ITF,3326349,0.17391304347826086
0,,0.49509393717846073,0.4,0.38488880410192905,0.49090909090909096,0.85,0.49090909090909096,0.85,,0.0,-0.0,0.46047953138638187,0.45517735738705867,Saner Julita,Pikkaart Charlotte,2026-09-17,wta-single,UTR Pro Tennis Series 5,3325101,0.7996485061511424
1,Hard,0.44855311972247003,0.5121951219512195,0.475876276135671,0.4066390041493776,1.0,0.43466663303463887,1.0,0.5703876821556227,0.04096000000000001,-3.0,0.4257957486076891,0.42461272372996506,Albot Radu,Kravchenko Georgii,2026-09-08,atp-single,Istanbul challenger,3318311,0.5789473684210527
1,Clay,0.525002984006622,0.18181818181818182,0.14730364211773692,0.44251525105584233,1.0,0.3761282754423524,1.0,0.2857142857142857,0.1875,0.0,0.3831121389602154,0.3457274761217694,Karatancheva Lia,Niemeier Jule,2026-09-15,wta-single,Pazardzhik ITF,3323747,0.3953488372093023
0,Hard,0.503103567847173,0.3571428571428571,0.33253419740090107,0.4389027431421446,1.0,0.5118232731798382,1.0,,0.0,6.0,0.4930497227107249,0.5091536794759708,Rouvroy Margaux,Johnson Sofia,2026-09-13,wta-single,Caldas da Rainha,3322201,0.2629399585921325
0,Clay,0.5098646271108043,0.2857142857142857,0.26492707877820876,0.4488107549120993,1.0,0.35921893508982405,1.0,,0.0,-0.0,0.4147965559123964,0.3780035469929457,Meliss Verena,Gandolfi Francesca,2026-09-16,wta-single,Santa Margherita Di Pula 11 ITF,3324615,0.4403183023872679
1,,0.49166650511995286,0.4117647058823529,0.39460079178171587,0.5,0.25,0.5,0.25,,0.0,-7.0,0.387080538223247,0.3794521319562972,Duran Diego (2004),Bojarski Alan,2026-09-10,atp-single,UTR Pro Tennis Series 3,3320713,0.1993006993006993
1,Clay,0.4393636361375887,0.5675675675675677,0.540027345487299,0.6,1.0,0.7729468599033817,1.0,,0.0,0.0,0.5356437345683854,0.5841126138427565,Britez Risso Leyla Fiorella,Konishi Camargo Silva Julia,2026-09-19,wta-single,Sao Luis do Maranhao ITF,3326718,0.911130284728214
0,Clay,0.4515117787643651,0.4444444444444444,0.45613064966005945,0.5732952225398122,1.0,0.6303517671567098,1.0,0.7142857142857143,0.1875,-0.0,0.4897504819162073,0.5245247896501037,Primorac Iva,Pace Francesca,2026-09-10,wta-single,Reus ITF,3320609,0.38167938931297707
1,Clay,0.5568762904900325,0.2592592592592593,0.32130512453941873,0.4481211441390914,1.0,0.4299896587383661,1.0,,0.0,0.0,0.4214188979627944,0.4360570245892725,Galfi Dalma,Brancaccio Nuria,2026-09-09,wta-single,Montreux WTA,3319577,0.5488126649076518
1,Hard,0.5630971260828541,0.574468085106383,0.596935468917202,0.5266990291262136,1.0,0.6263233446976493,1.0,,0.0,0.0,0.5547547467718169,0.5954519798992352,Oliver Sanchez Maria,Turkmen Doga,2026-09-10,wta-single,Monastir 49 ITF,3320391,0.7940140845070423
0,Indoors,0.46030177686769147,0.4545454545454546,0.4601098158753604,0.514501891551072,1.0,0.5137592725532426,0.5,,0.0,-0.0,0.47644970765473926,0.4709164916078692,Zhang Ruien,Wei Sijia,2026-09-19,wta-single,Shenyang ITF,3326405,0.2995391705069125
1,Indoors,0.5659913094484647,0.5263157894736842,0.46843533358518497,0.5263157894736842,1.0,0.3336864406779661,0.95,,0.0,6.0,0.599540962798611,0.5181114446365145,Fomba Luc,Boutleux Noah,2026-09-09,atp-single,Futures 2026,3319165,0.8030560271646858
0,Clay,0.36109115966638905,0.5813953488372093,0.5749082612557035,0.509433962264151,1.0,0.591025641025641,1.0,,0.0,-3.0,0.4539734902559165,0.4790083539825779,Maduzzi Gaia,Yaneva Elizara,2026-09-16,wta-single,Pazardzhik ITF,3325009,0.21261261261261266
0,Hard,,0.2758620689655171,0.3545937123955162,0.4426229508196722,0.65,0.4571428571428572,0.65,,0.0,-0.0,0.3415557496959418,0.39499186032628686,Klaus Luis,Mayank Sharma,2026-09-08,atp-single,Futures 2026,3318357,0.5122615803814714
