player_slug,name,elo,matches,elo_hard,matches_hard,elo_clay,matches_clay,elo_grass,matches_grass,elo_indoors,matches_indoors
/player/broom-cb719/,Broom C.,1824.4,44,1758.8,26.0,1721.1,9.0,1516.8,9.0,,
/player/guerrieri/,Guerrieri A.,1823.8,51,1798.6,12.0,1774.0,35.0,1536.9,4.0,,
/player/dalla-valle/,Dalla Valle E.,1823.8,60,,,1794.7,59.0,,,,
/player/arystanbekova-a7dab/,Arystanbekova A.,1823.7,31,1846.5,28.0,,,,,1580.3,3.0
/player/maquet/,Maquet M.,1823.7,47,,,1812.6,47.0,,,,
/player/matsuda-a1ba0/,Matsuda R.,1823.6,47,1815.1,34.0,,,,,1756.0,13.0
/player/bouzkova/,Bouzkova M.,1823.5,34,1689.2,10.0,1680.4,11.0,1772.1,11.0,,
/player/wolf-e839f/,Wolf J.,1823.4,29,1735.7,18.0,1730.3,10.0,1565.7,1.0,,
/player/guttau/,Guttau N.,1823.1,33,1724.1,13.0,1730.7,18.0,1506.4,2.0,,
/player/debru-5353d/,Debru G.,1823.0,6,1821.2,5.0,1434.3,1.0,,,,
/player/lokoli/,Lokoli L.,1822.6,40,1581.5,7.0,1789.8,28.0,1787.0,5.0,,
/player/milovanova/,Milovanova V.,1822.5,36,1824.2,36.0,,,,,,
/player/gombos/,Gombos N.,1822.4,48,,,1796.5,46.0,,,,
/player/de-minaur/,De Minaur A.,1822.2,36,1665.2,10.0,1672.3,13.0,1692.2,11.0,,
/player/delaney/,Delaney J.,1821.2,55,1699.2,23.0,1878.3,31.0,1565.7,1.0,,
/player/esposito-cogan/,Esposito Cogan A.,1821.2,14,1460.1,1.0,,,,,,
/player/nedic/,Nedic A.,1821.2,44,,,1773.8,42.0,1434.3,1.0,,
/player/nishino-6a828/,Nishino N.,1820.9,19,1652.5,14.0,,,,,,
/player/wan-4f657/,Wan I.,1820.8,26,1711.9,14.0,,,,,1507.1,2.0
/player/montsi-a0436/,Montsi K.,1820.6,17,1580.8,6.0,1797.1,5.0,1796.0,5.0,,
/player/kim-207ea/,Kim J.,1820.5,17,1651.7,4.0,1860.1,11.0,1422.1,1.0,,
/player/lombardini/,Lombardini M.,1819.1,39,,,1805.8,39.0,,,,
/player/kalina/,Kalina V.,1818.7,27,1615.3,2.0,1591.1,9.0,1565.7,1.0,,
/player/hallquist-lithen/,Hallquist Lithen J.,1818.7,56,1728.9,17.0,1718.8,39.0,,,,
/player/sidorova-c06bb/,Sidorova K.,1818.2,22,1668.0,16.0,1433.2,2.0,,,1744.9,4.0
/player/burillo-escorihuela/,Burillo Escorihuela I.,1818.0,38,,,1804.3,38.0,,,,
/player/dmitrichenko-e3c30/,Dmitrichenko Y.,1817.9,12,1819.0,12.0,,,,,,
/player/krueger-7fc13/,Krueger A.,1817.7,32,1439.8,5.0,1569.3,10.0,1884.4,17.0,,
/player/heide-17a3d/,Heide G.,1817.3,44,1388.0,3.0,1846.3,38.0,1503.2,2.0,,
/player/marques-1098b/,Marques G.,1817.1,48,1733.9,21.0,1662.8,26.0,,,,
/player/schiessl-49747/,Schiessl E.,1817.1,20,1606.7,2.0,1718.9,14.0,,,,
/player/cortez-llorca/,Cortez Llorca L.,1816.8,29,1434.4,1.0,1829.1,28.0,,,,
/player/madaras/,Madaras D.,1816.6,17,1699.6,5.0,1758.6,12.0,,,,
/player/merida-aguilar/,Merida Aguilar D.,1816.6,43,1704.5,11.0,1746.1,29.0,1414.7,2.0,,
/player/pedone/,Pedone G.,1816.5,55,,,1803.2,55.0,,,,
/player/buchnik-40594/,Buchnik M.,1816.5,22,1813.1,22.0,,,,,,
/player/chung-403ca/,Chung Y.,1816.3,26,1626.6,10.0,1772.2,15.0,,,,
/player/jirousek/,Jirousek T.,1816.2,21,,,,,,,,
/player/hurkacz/,Hurkacz H.,1815.8,32,1719.5,11.0,1615.8,13.0,1621.8,8.0,,
/player/krutykh/,Krutykh O.,1815.0,52,1647.6,4.0,1764.3,45.0,1504.6,2.0,,
/player/perez-contri/,Perez Contri S.,1814.8,40,1629.0,10.0,1729.9,30.0,,,,
/player/bencic/,Bencic B.,1814.3,22,1654.5,4.0,1724.4,12.0,1615.9,4.0,,
/player/balshaw/,Balshaw F.,1814.3,47,1741.3,19.0,1803.0,28.0,,,,
/player/erel/,Erel Y.,1814.2,46,1736.8,26.0,1789.6,14.0,1797.7,5.0,,
/player/kotov-392a7/,Kotov P.,1814.1,21,1827.4,15.0,1466.2,6.0,,,,
/player/huesler/,Huesler M.,1814.0,26,,,1828.5,20.0,1405.6,6.0,,
/player/honer/,Honer A.,1813.8,24,1622.2,7.0,1821.8,17.0,,,,
/player/friend/,Friend J.,1813.3,34,1757.7,30.0,,,1633.7,4.0,,
